"","Estimate","Est.Error","Q2.5","Q5","Q10","Q90","Q95","Q97.5"
"b_slp:era1989M2013359",0.827561968228362,1.23991559045241,-1.62519407100462,-1.18284079809618,-0.80974684452052,2.37398942821307,2.82367053068749,3.2170196232857
"b_slp:era1989M2013360",1.37275316428204,1.10036641692545,-0.782514313428238,-0.430352612649365,0.0281763801718516,2.72294887188852,3.09084870805066,3.43936664458667
"b_slp:era1989M2013361",0.97187164789177,0.840773457159709,-0.589303702258664,-0.363579848006273,-0.104796657729915,2.05130196848116,2.38256348732946,2.62317341320403
"b_slp:era1989M2013362",0.620659844788908,0.653964478180897,-0.660565693148471,-0.4658568032662,-0.205033120526916,1.44690565294708,1.72845677669099,1.94512528006304
"b_slp:era1989M2013363",0.515374414507259,0.578714080656019,-0.627016001288149,-0.42597088988085,-0.218581987009315,1.23593362384076,1.49042849168021,1.67315991001913
"b_slp:era1989M2013364",0.433719050988151,0.520836019907808,-0.600479189481663,-0.451155170195377,-0.235268306785983,1.09367398282698,1.30034985714109,1.45664703998366
"b_slp:era1989M2013365",0.366095931049519,0.485939947513113,-0.573709115394875,-0.417188907950784,-0.248844857509009,0.979369167097052,1.16362118177243,1.33449764207882
"b_slp:era1989M2013366",0.267770469809042,0.442676593231166,-0.620621604523736,-0.4655306648719,-0.295570772559223,0.830146462660209,0.998458766882907,1.13684059910925
"b_slp:era1989M2013367",0.224963093921919,0.436602175108805,-0.625000892915265,-0.483847668358478,-0.348525859825379,0.776543197125966,0.922878089504719,1.06210043957888
"b_slp:era1989M2013368",0.172161287873201,0.412829143555899,-0.661808241294044,-0.507207219552795,-0.350512157219667,0.693182077116323,0.840843428576711,0.978609868009139
"b_slp:era1989M2013369",0.103660108538644,0.410953914370736,-0.716847460691756,-0.595622855433166,-0.44161097801613,0.631761432385709,0.782389337470854,0.914880055950174
"b_slp:era1989M2013370",0.0605949372170883,0.380899462550036,-0.66842532113372,-0.557937247081048,-0.432442091065921,0.542630212860721,0.668030717873626,0.783584549147483
"b_slp:era1989M2013371",0.0312606081557877,0.390340543472463,-0.710653214820653,-0.584332767752074,-0.467631444113558,0.528385268085654,0.669535053864993,0.779005344529919
"b_slp:era1989M2013372",-0.00575487228869814,0.383751643458254,-0.749307157241955,-0.645768336197773,-0.489649693684615,0.498075531105684,0.620034443691572,0.726039908015944
"b_slp:era1989M2013373",-0.0347037961917269,0.400791317742416,-0.813820388948611,-0.689764791140202,-0.551850110594798,0.484965516724981,0.614952252791457,0.724999340021309
"b_slp:era1989M2013374",-0.0783804706254773,0.436374990999875,-0.96802101396229,-0.794737767854759,-0.639190433560843,0.456881617321738,0.614040012381761,0.766098251453475
"b_slp:era1989M2013375",-0.116590680390985,0.431904137015883,-0.941935043459971,-0.835478589019906,-0.672677273887177,0.431445922514214,0.605234844676692,0.773091599015007
"b_slp:era1989M2013376",-0.170028843455833,0.44165704631282,-1.01682420757914,-0.887942876139058,-0.727281027508599,0.402660655267722,0.535496222460205,0.69753807889073
"b_slp:era1989M2013377",-0.258837390524918,0.472767962697776,-1.14425843115891,-1.0169120011465,-0.8464706760652,0.355785076422957,0.51517779995059,0.674327989741121
"b_slp:era1989M2013378",-0.488801810943105,1.11209285142573,-2.73046223834671,-2.29435909930554,-1.87133000766547,0.920875159127677,1.35894940194385,1.72599486732891
"b_slp:era1989M2013379",0.10266624284373,1.20193343453779,-2.2889526912845,-1.88955753235638,-1.42095770141743,1.60666809893634,2.03266515651933,2.45139544760527
"b_slp:era1989M2013380",0.950161927475605,1.25522630127827,-1.58185618127302,-1.11356949030293,-0.660169306749142,2.4857439322588,2.88006910578086,3.25675191781028
"b_slp:era1989M2013381",1.1011613889149,1.01993783035045,-0.906863459457869,-0.556081114225208,-0.173792703863386,2.39043314888543,2.77798940779982,3.0845597838518
"b_slp:era1989M2013382",0.844296244705679,0.802736717449723,-0.677809443809786,-0.465687011945587,-0.169768523005478,1.8707324121227,2.14467602107499,2.40617087910638
"b_slp:era1989M2013383",0.4797366848068,0.660188425741065,-0.788888255574395,-0.580992719708385,-0.369407196532483,1.31583488456857,1.5784838774914,1.8254718442074
"b_slp:era1989M2013384",0.375634026013426,0.572182088836975,-0.734640515747534,-0.552450418074708,-0.36279660683397,1.09921061457583,1.31549590643621,1.5302389956601
"b_slp:era1989M2013385",0.327500799295706,0.51394594370187,-0.653548431856922,-0.497931616220479,-0.334279823052974,0.981933687419235,1.17714068667407,1.36645452386648
"b_slp:era1989M2013386",0.30231795074638,0.503160061621785,-0.670843045512056,-0.510517566235797,-0.33603120740348,0.974377456439573,1.14017834143624,1.2987619724202
"b_slp:era1989M2013387",0.233616570366589,0.463221178472179,-0.68134127127839,-0.508212541849965,-0.338206148728571,0.818554362514123,1.00804051334785,1.14147399030719
"b_slp:era1989M2013388",0.204232926251748,0.432709574314008,-0.637972249889036,-0.48811550091222,-0.348604909902564,0.774692996496466,0.928001775013441,1.06168294299782
"b_slp:era1989M2013389",0.152474258128038,0.43285097685013,-0.712838061370537,-0.577452158065247,-0.417285542464219,0.695423456495711,0.835435843205017,1.00740848855561
"b_slp:era1989M2013390",0.121538771533871,0.394813377568127,-0.637833663498182,-0.517568909309702,-0.381066179615042,0.629953802767801,0.801921025989522,0.927774740826653
"b_slp:era1989M2013391",0.0512485624318894,0.376911531044133,-0.693656153093926,-0.569778677074214,-0.427067680432619,0.527760358437044,0.654356987553324,0.780236934970301
"b_slp:era1989M2013392",0.0429573181344113,0.380293667198798,-0.712597335589196,-0.579749178093494,-0.432568796654736,0.534938042259401,0.666120307766479,0.824574359341998
"b_slp:era1989M2013393",0.0176440740970291,0.405577957720993,-0.772708398995612,-0.657279119252551,-0.493865227302091,0.541442816418688,0.676024489739328,0.807889799169281
"b_slp:era1989M2013394",-0.0457830224807956,0.4205171987587,-0.844495458100277,-0.726488916190644,-0.58895843924679,0.490881645794638,0.651484016514952,0.78821389307367
"b_slp:era1989M2013395",-0.0789149856166714,0.428301471444553,-0.946361407647639,-0.789191399132611,-0.620957008622146,0.464552401772927,0.615706233285878,0.742595576396478
"b_slp:era1989M2013396",-0.141545483461461,0.436329645465018,-1.03293147975001,-0.849930110732958,-0.698756231101426,0.384741589776236,0.548411743392191,0.7054774720544
"b_slp:era1989M2013397",-0.164822576211005,0.452552110898897,-1.04723726946991,-0.89023444447094,-0.739606671905614,0.4241390136614,0.58732335875632,0.718271583925965
"b_slp:era1989M2013398",-0.258837390524918,0.472767962697776,-1.14425843115891,-1.0169120011465,-0.8464706760652,0.355785076422957,0.51517779995059,0.674327989741121
"b_slp:era1989M2013399",-0.117475378126023,1.39359686520347,-2.75670469690986,-2.39700249063907,-1.88780425084886,1.69623773882002,2.16472629064829,2.62446796302163
"b_slp:era1989M2013400",0.100572996560274,1.33776435807175,-2.48621141299516,-2.09918637488625,-1.64783665608511,1.83282408275091,2.26875644248178,2.61442598055689
"b_slp:era1989M2013401",0.5720285253605,1.05465161797344,-1.45135097002093,-1.10617698365587,-0.783084506786355,1.90801825271186,2.29884639469453,2.63600751596744
"b_slp:era1989M2013402",0.860008797201637,0.949847816552715,-0.97843984247475,-0.702850693592976,-0.384144383692948,2.07546830118729,2.43710009433907,2.65330955248898
"b_slp:era1989M2013403",0.728429167090832,0.777999514715332,-0.787778811165552,-0.579080627586319,-0.310352637376343,1.71796165717631,2.00442290326445,2.24835860866908
"b_slp:era1989M2013404",0.405749737850964,0.670288911837333,-0.917018076054576,-0.705622333130534,-0.434044909192278,1.2702451798944,1.53849073672377,1.72866204057977
"b_slp:era1989M2013405",0.317068546516545,0.585998463259287,-0.815346692687417,-0.598833649105877,-0.410243239133222,1.08440081699382,1.29127684813124,1.51342040019813
"b_slp:era1989M2013406",0.263708387741442,0.549045803100136,-0.846877228102331,-0.661586384607669,-0.428982893549042,0.952620975317616,1.18421487597249,1.33291961349698
"b_slp:era1989M2013407",0.230627143366853,0.494964251560098,-0.731197370808474,-0.586774174454398,-0.402287011889028,0.859161721739673,1.0520254563802,1.19411901906162
"b_slp:era1989M2013408",0.173884855444088,0.458525790168618,-0.759629715981151,-0.576762090139507,-0.409312653244602,0.752089027077483,0.901165324547347,1.03134304591452
"b_slp:era1989M2013409",0.223842925500976,0.439783640735675,-0.662359251813865,-0.487976725422717,-0.335553915314037,0.78492944535155,0.935506850141051,1.0911481940986
"b_slp:era1989M2013410",0.133318223357262,0.447906716577823,-0.766136957074499,-0.634875290097905,-0.441384191237186,0.692514556591672,0.878727894336911,1.01912365000494
"b_slp:era1989M2013411",0.0793877681298829,0.393995848597973,-0.67212054800491,-0.59043193484288,-0.430791411084513,0.580833446557462,0.728091753885708,0.864228456299197
"b_slp:era1989M2013412",0.0567550877374089,0.387787505546247,-0.725417109710704,-0.588284619936913,-0.438717756424312,0.552230685018164,0.682051499934849,0.776697095526325
"b_slp:era1989M2013413",0.0489512933205406,0.404581878766365,-0.690798755754111,-0.589166912928731,-0.467735302420289,0.573150420999403,0.733081037966389,0.863935628820406
"b_slp:era1989M2013414",0.0392697923460267,0.388687643203776,-0.730985398705779,-0.618749886458295,-0.456196344799543,0.531118021997436,0.671142333458423,0.801506553240003
"b_slp:era1989M2013415",-0.0446452092918771,0.415972770987576,-0.867892146795996,-0.759443570010365,-0.586622701493759,0.463733703684369,0.617533096165268,0.762783868004811
"b_slp:era1989M2013416",-0.129059867562451,0.419983976820051,-0.952835451470746,-0.812676128456761,-0.651840936452456,0.41742009351286,0.579273288760161,0.705989553071739
"b_slp:era1989M2013417",-0.108055496600741,0.455755458813862,-1.00309426587057,-0.840816166623452,-0.68664609241207,0.491120060900709,0.672270310932152,0.80954885796548
"b_slp:era1989M2013418",-0.168560727824569,0.447406398316974,-1.04352022886171,-0.894870036187478,-0.735271782971177,0.41504601274543,0.570058428965822,0.696280354502782
"b_slp:era1989M2013419",-0.258837390524918,0.472767962697776,-1.14425843115891,-1.0169120011465,-0.8464706760652,0.355785076422957,0.51517779995059,0.674327989741121
"b_slp:era1989M2013420",0.0447661657729986,1.4071293722701,-2.74502751141181,-2.32251918438107,-1.79684987858862,1.92202423822633,2.37666436167695,2.769127037056
"b_slp:era1989M2013421",0.470561483992711,1.03129061878219,-1.53443910068826,-1.23196518420654,-0.81739950846067,1.81278551079513,2.11951185010926,2.40119976441968
"b_slp:era1989M2013422",0.621380312029067,0.879692288452719,-1.17443871722766,-0.829055601468202,-0.518433774032705,1.72773933427413,2.06211083347799,2.35551192847111
"b_slp:era1989M2013423",0.590172290919593,0.845674214662653,-1.08978928371821,-0.823900504744216,-0.481173507348776,1.66747357062111,1.93483216879184,2.18364582603123
"b_slp:era1989M2013424",0.643608393495472,0.800495768019887,-0.854892730279401,-0.647799919880532,-0.371118158664435,1.66968033696861,1.92854526251022,2.26010623439529
"b_slp:era1989M2013425",0.382397371139176,0.667665832688897,-0.903325623663586,-0.676503952726829,-0.449202076288543,1.25198684183019,1.51827496319985,1.76736076121103
"b_slp:era1989M2013426",0.255650640828722,0.586402346302178,-0.903921963340068,-0.71041914763754,-0.478803565176265,0.996015266491844,1.20811230483505,1.40515889615867
