Date,ALBSA
6/1/2017,-34
7/1/2017,182.347
8/1/2017,20.839
9/1/2017,7.167
10/1/2017,127.96
11/1/2017,216.15
12/1/2017,-2.581
1/1/2018,-56.5
2/1/2018,250.428
3/1/2018,232.153
4/1/2018,-27.933
5/1/2018,-40.871
6/1/2018,-29.717
7/1/2018,171.452
8/1/2018,151.339
9/1/2018,118.442
10/1/2018,-72.314
11/1/2018,-85.783
12/1/2018,-28.968
1/1/2019,14.105
2/1/2019,392.009
3/1/2019,127.718
4/1/2019,-86.033
5/1/2019,-89.121
6/1/2019,22.975
7/1/2019,123.516
8/1/2019,135.718
9/1/2019,98.8
10/1/2019,74.677
11/1/2019,51.583
12/1/2019,-97.25
1/1/2020,32.266
2/1/2020,68
3/1/2020,312.073
4/1/2020,-9999
5/1/2020,-9999
6/1/2020,-9999
7/1/2020,-9999
8/1/2020,-9999
9/1/2020,-9999
10/1/2020,-9999
11/1/2020,-9999
12/1/2020,-9999
